Date/Time Reported,Date/Time Occurred,Location,Incident,CAD #,Report #,Disposition
3/16/2023 17:12,,Pcv Estrella,ALARM - Fire Alarm,23-03-16-003690,,False/Cooking related
3/16/2023 15:39,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-16-003689,,COMPLETED- NO REPORT
3/16/2023 15:04,,Canyon Circle,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-16-003688,,COMPLETED- NO REPORT
3/16/2023 14:58,,Children's Center (asi),ALARM - Burglary Alarm,23-03-16-003687,,CALLED PRIOR
3/16/2023 14:48,,Zone2 West Of California Blvd,PATROL ACTIVITY,23-03-16-003686,,IN SERVICE
3/16/2023 14:06,,Mathematics And Science,ALARM - Fire Alarm,23-03-16-003684,,False/Mechanical
3/16/2023 14:05,,Lower Soccer Field/sports Complex,OTHER OFFENSE - Other Offense,23-03-16-003685,,COMPLETED- NO REPORT
3/16/2023 13:55,,Off Campus - 126 Cerro Romauldo Ave,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-16-003683,,COMPLETED- NO REPORT
3/16/2023 13:10,02/16/2023 01:00 pm - 03/16/2023 01:00 pm,Trinity Hall,VANDALISM - Vandalism - Less Than $400,,230339,Closed
3/16/2023 12:58,,Trinity Hall,VANDALISM - Malicious Mischief report,23-03-16-003680,230339,REPORT TAKEN
3/16/2023 12:55,,Alex & Faye Spanos Theatre,ALARM - Fire Alarm,23-03-16-003679,,CALLED PRIOR
3/16/2023 12:51,,Pcv Corralitos,ALARM - Fire Alarm,23-03-16-003677,,CALLED PRIOR
3/16/2023 12:49,,University Drive,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-16-003676,,GONE ON ARRIVAL/UNABLE TO LOCATE
3/16/2023 12:44,,William & Linda Frost Center For Research & Innovation,ALARM - Elevator Emergency/Alarm,23-03-16-003675,,COMPLETED- NO REPORT
3/16/2023 12:34,03/16/2023 12:34 pm - 03/16/2023 01:07 pm,Technology Park,MEDICAL - Medical Aid,,230337,Closed
3/16/2023 12:34,,Technology Park,MEDICAL - Medical Aid,23-03-16-003674,230337,REPORT TAKEN
3/16/2023 12:04,,Education Building,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-16-003673,,UNFOUNDED
3/16/2023 11:58,,Fremont Hall,ALARM - Fire Alarm,23-03-16-003672,,TURNED OVER TO HOUSING
3/16/2023 11:19,,H2-a Parking Lot,PARKING - Parking Violation,23-03-16-003670,,TURNED OVER TO
3/16/2023 10:36,,Pcv Dover,ALARM - Fire Alarm,23-03-16-003668,,False/Cooking related
3/16/2023 10:20,,H-11 Parking Lot,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-16-003666,,COMPLETED- NO REPORT
3/16/2023 9:51,,Off Campus - 158 San Jose Ct.,MEDICAL - Medical Aid,23-03-16-003665,,TURNED OVER TO SLPD
3/16/2023 9:28,,Pcv Estrella,ALARM - Fire Alarm,23-03-16-003664,,CALLED PRIOR
3/16/2023 8:15,,Facility Services Warehouse,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-16-003660,,COMPLETED- NO REPORT
3/16/2023 5:10,,Orfalea Business Building,ALARM - Burglary Alarm,23-03-16-003652,,CALLED PRIOR
3/16/2023 3:07,,Yak?ityutyu Area,PATROL ACTIVITY - Patrol Check,23-03-16-003651,,IN SERVICE
3/16/2023 1:43,,Poly Canyon Village Area,PATROL ACTIVITY - Patrol Check,23-03-16-003650,,IN SERVICE
3/16/2023 0:31,,Administration,ALARM - Burglary Alarm,23-03-16-003648,,CALLED PRIOR
3/16/2023 0:31,,Recreation Center Outdoor Pool,ALARM - Burglary Alarm,23-03-16-003649,,SECURE/UNKNOWN
3/15/2023 23:19,,Highland Drive,ANIMAL - Animal Call,23-03-15-003647,,GONE ON ARRIVAL/UNABLE TO LOCATE
3/15/2023 22:53,,Inner Perimeter,PATROL ACTIVITY - Patrol Check,23-03-15-003645,,IN SERVICE
3/15/2023 22:46,,Recreation Center,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-15-003644,,UNFOUNDED
3/15/2023 21:47,,Campus Market,CITIZEN ASSIST - Escort,23-03-15-003642,,COMPLETED- NO REPORT
3/15/2023 21:12,,Feed Mill Walk,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-15-003640,,UNFOUNDED
3/15/2023 21:11,,Pcv Foxen,ALARM - Fire Alarm,23-03-15-003639,,False/Steam
3/15/2023 20:54,,Zone 1 East Of California Blvd.,PATROL ACTIVITY - Patrol Check,23-03-15-003637,,IN SERVICE
3/15/2023 19:47,,Cerro Vista  Romauldo,ALARM - Fire Alarm,23-03-15-003635,,False/Vape
3/15/2023 19:16,,Health & Wellbeing Center,ALARM - Burglary Alarm,23-03-15-003633,,False/Human Error
3/15/2023 18:22,,Heron Hall,ALARM - Burglary Alarm,23-03-15-003628,,SECURE/UNKNOWN
3/15/2023 17:54,,Yak?ityutyu - C,PATROL ACTIVITY - Patrol Check,23-03-15-003627,,TURNED OVER TO FACILITY SVS
3/15/2023 17:10,,Yak?ityutyu - B,ALARM - Fire Alarm,23-03-15-003625,,SECURE/UNKNOWN
3/15/2023 16:53,,Pcv Corralitos,ALARM - Fire Alarm,23-03-15-003624,,False/Cooking related
3/15/2023 14:56,,Hillcrest,CITIZEN ASSIST - Check The Welfare,23-03-15-003616,,COMPLETED- NO REPORT
3/15/2023 14:49,03/14/2023 06:30 pm - 03/15/2023 02:00 pm,Canyon Circle Parking Structure Area,VANDALISM - VANDALISM ($400 OR MORE),,230336,Closed
3/15/2023 14:49,,Canyon Circle Parking Structure Area,VANDALISM - Malicious Mischief report,23-03-15-003615,230336,REPORT TAKEN
3/15/2023 13:50,,Zone 1 East Of California Blvd.,PATROL ACTIVITY - Patrol Check,23-03-15-003614,,IN SERVICE
3/15/2023 13:26,,Via Carta Road,CRIMINAL - Skateboarding/Rollerblade on campus,23-03-15-003612,,SUBJECT(S) ADVISED/WARNED
3/15/2023 13:09,,H4-a Parking Lot,CRIMINAL - Skateboarding/Rollerblade on campus,23-03-15-003611,,SUBJECT(S) ADVISED/WARNED
3/15/2023 13:01,,Spanos Stadium,PATROL ACTIVITY - Foot Patrol,23-03-15-003610,,COMPLETED- NO REPORT
3/15/2023 12:53,,Pcv Estrella,ALARM - Fire Alarm,23-03-15-003609,,COMPLETED- NO REPORT
3/15/2023 12:31,,Center For Science,ALARM - Fire Alarm,23-03-15-003607,,TURNED OVER TO FACILITY SVS
3/15/2023 12:17,,Zone 1 East Of California Blvd.,PATROL ACTIVITY - Patrol Check,23-03-15-003606,,IN SERVICE
3/15/2023 12:12,,Alex & Faye Spanos Theatre,ALARM - Fire Alarm,23-03-15-003605,,COMPLETED- NO REPORT
3/15/2023 11:49,,Cerro Vista  Islay,ALARM - Elevator Emergency/Alarm,23-03-15-003600,,COMPLETED- NO REPORT
3/15/2023 11:01,,North Perimeter Road,VEHICLE - Vehicle Stop,23-03-15-003599,,CLEARED BY CITATION
3/15/2023 10:50,,Safety Way East,VEHICLE - Vehicle Stop,23-03-15-003595,,DRIVER WARNED/ADVISED
3/15/2023 10:33,,Tenaya Hall Area,DOCUMENTATION - Bike Impound,23-03-15-003594,230335,REPORT TAKEN
3/15/2023 10:26,,North Perimeter Road,TRAFFIC - BICYCLE STOP,23-03-15-003592,,DRIVER WARNED/ADVISED
3/15/2023 8:57,,Ytt Parking Structure,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-15-003588,,COMPLETED- NO REPORT
3/15/2023 6:11,,Agricultural Sciences,ALARM - Burglary Alarm,23-03-15-003579,,CALLED PRIOR
3/15/2023 3:33,,Yak?ityutyu - C,ALARM - Fire Alarm,23-03-15-003576,,False/Cooking related
3/15/2023 2:48,,Julian A. Mcphee University Union Area,PATROL ACTIVITY - Patrol Check,23-03-15-003575,,IN SERVICE
3/15/2023 1:59,,E. & J. Gallo Winery And Family Building,ALARM - Fire Alarm,23-03-15-003574,,TURNED OVER TO FACILITY SVS
3/15/2023 1:47,,Cerro Vista  Hollister,ALARM - Fire Alarm,23-03-15-003573,,False/Cooking related
3/15/2023 1:08,,E. & J. Gallo Winery And Family Building,ALARM - Fire Alarm,23-03-15-003571,,TURNED OVER TO FACILITY SVS
3/14/2023 23:35,,Pcv Aliso,ALARM - Fire Alarm,23-03-14-003570,,False/Cooking related
3/14/2023 23:30,,Pcv Corralitos,ALARM - Fire Alarm,23-03-14-003569,,TURNED OVER TO FACILITY SVS
3/14/2023 23:22,,Yak?ityutyu - D,ALARM - Fire Alarm,23-03-14-003568,,TURNED OVER TO FACILITY SVS
3/14/2023 22:47,,Inner Perimeter,PATROL ACTIVITY - Patrol Check,23-03-14-003562,,IN SERVICE
3/14/2023 22:40,,Recreation Center,ALARM - Fire Alarm,23-03-14-003561,,TURNED OVER TO FACILITY SVS
3/14/2023 22:07,,Yak?ityutyu - G,ALARM - Fire Alarm,23-03-14-003560,,TURNED OVER TO ENGINEERING SVS
3/14/2023 21:18,,Pcv Corralitos,ALARM - Fire Alarm,23-03-14-003559,,False/Cooking related
3/14/2023 20:41,,Yak?ityutyu - D,ALARM - Fire Alarm,23-03-14-003558,,False/Cooking related
3/14/2023 20:21,,Pcv Inyo,ALARM - Fire Alarm,23-03-14-003557,,False/Cooking related
3/14/2023 18:51,,Grand Avenue Parking Structure,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-14-003553,,COMPLETED- NO REPORT
3/14/2023 18:32,,Pcv Corralitos,ALARM - Fire Alarm,23-03-14-003551,,TURNED OVER TO HOUSING
3/14/2023 18:25,,Cerro Vista  Morro,ALARM - Elevator Emergency/Alarm,23-03-14-003550,,TURNED OVER TO
3/14/2023 17:55,,Grand Avenue Parking Structure,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-14-003549,,COMPLETED- NO REPORT
3/14/2023 16:29,,Ytt Parking Structure,TRAFFIC COLLISION - Traffic Collision/Hit and Run,23-03-14-003545,,COMPLETED- NO REPORT
3/14/2023 16:00,,Pcv Dover,CITIZEN ASSIST - Public Assist (specify),23-03-14-003544,,IN SERVICE
3/14/2023 15:44,,Pcv Dover,ALARM - Fire Alarm,23-03-14-003541,,False/Cooking related
3/14/2023 15:08,,Yak?ityutyu - F,ALARM - Fire Alarm,23-03-14-003538,,False/Cooking related
3/14/2023 15:03,,Cerro Vista  Hollister,FIRE - Smoke Check,23-03-14-003537,,False/Cooking related
3/14/2023 14:59,,Off Campus - Hwy 1/stenner Creek Rd,TRAFFIC COLLISION - Traffic Collision/Unknown Injury,23-03-14-003536,,TURNED OVER TO CHP
3/14/2023 13:30,,Engineering Iv,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-14-003532,,COMPLETED- NO REPORT
3/14/2023 11:25,,Pcv Inyo,ALARM - Fire Alarm,23-03-14-003528,,False/Cooking related
3/14/2023 11:23,,Engineering South,ALARM - Fire Alarm,23-03-14-003527,,COMPLETED- NO REPORT
3/14/2023 10:04,,Performing Arts Center Area,TRAFFIC - Traffic Hazard,23-03-14-003523,,COMPLETED- NO REPORT
3/14/2023 9:54,,Cal Poly Pier,ALARM - Equipment Alarm,23-03-14-003522,,COMPLETED- NO REPORT
3/14/2023 8:58,,Pcv Estrella,ALARM - Fire Alarm,23-03-14-003518,,COMPLETED- NO REPORT
3/14/2023 8:25,,Student Services Center Area,ALARM - Fire Alarm,23-03-14-003517,,COMPLETED- NO REPORT
3/14/2023 7:32,,Administration,ALARM - Fire Alarm,23-03-14-003515,,COMPLETED- NO REPORT
3/14/2023 6:03,,Julian A. Mcphee University Union,ALARM - Fire Alarm,23-03-14-003512,,CALLED PRIOR
3/14/2023 4:17,03/14/2023 04:17 am - 03/14/2023 04:42 am,Fremont Hall,MEDICAL - Medical Aid,,230332,Closed
3/14/2023 4:17,,Fremont Hall,MEDICAL - Medical Aid,23-03-14-003511,230332,REPORT TAKEN
3/14/2023 4:12,,Anderson Aquatic Center,ALARM - Burglary Alarm,23-03-14-003510,,False/Custodial
3/14/2023 1:27,,Pcv Estrella,ALARM - Fire Alarm,23-03-14-003509,,TURNED OVER TO HOUSING
3/14/2023 0:04,,Pcv Aliso,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-03-14-003508,,FIELD INTERVIEW
3/13/2023 23:08,,Frank E Pilling Computer Science,ALARM - Equipment Alarm,23-03-13-003507,,TURNED OVER TO FACILITY SVS
3/13/2023 22:19,,Pcv Inyo,VANDALISM - Malicious Mischief report,23-03-13-003506,,UNFOUNDED
3/13/2023 22:00,,Pcv Estrella,ALARM - Fire Alarm,23-03-13-003505,,False/Cooking related
3/13/2023 21:26,,Poly Canyon Village Area,PATROL ACTIVITY - Patrol Check,23-03-13-003503,,IN SERVICE
3/13/2023 21:13,,Pcv Corralitos,ALARM - Fire Alarm,23-03-13-003502,,False/Cooking related
3/13/2023 20:53,,Engineering Iv,ALARM - Fire Alarm,23-03-13-003501,,TURNED OVER TO FACILITY SVS
3/13/2023 20:48,,Pcv Huasna,ALARM - Fire Alarm,23-03-13-003500,,False/Cooking related
3/13/2023 19:55,,Orfalea Business Building,CITIZEN ASSIST - Escort,23-03-13-003499,,COMPLETED- NO REPORT
3/13/2023 19:39,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-03-13-003498,,IN SERVICE
3/13/2023 18:54,,Unknown On-campus,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-13-003494,,COMPLETED- NO REPORT
3/13/2023 16:10,,Frank E Pilling Computer Science,ALARM - Equipment Alarm,23-03-13-003489,,TURNED OVER TO FACILITY SVS
3/13/2023 15:35,,Dexter Lawn,CRIMINAL - Skateboarding/Rollerblade on campus,23-03-13-003486,,SUBJECT(S) ADVISED/WARNED
3/13/2023 14:17,,Off Campus - Austin Texas,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-13-003481,,COMPLETED- NO REPORT
3/13/2023 14:14,,Natatorium,FIRE - Smoke Check,23-03-13-003482,,GONE ON ARRIVAL/UNABLE TO LOCATE
3/13/2023 13:53,,Crops Unit Area,CAMPUS ADMINISTRATIVE POLICY - CAMPUS ADMINIISTRATIVE POLICY VIOLATION,23-03-13-003479,,COMPLETED- NO REPORT
3/13/2023 13:18,,Recreation Center,ALARM - Audible Alarm,23-03-13-003476,,CALLED PRIOR
3/13/2023 13:08,,Pcv Aliso,ALARM - Audible Alarm,23-03-13-003475,,CALLED PRIOR
3/13/2023 12:53,,H-12 Parking Lot,TRAFFIC COLLISION - Traffic Collision/Hit and Run,23-03-13-003474,,COMPLETED- NO REPORT
3/13/2023 11:50,,Ytt Parking Structure,PARKING - Parking Violation,23-03-13-003472,,COMPLETED- NO REPORT
3/13/2023 11:30,,A-1 Parking Lot,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-13-003470,,COMPLETED- NO REPORT
3/13/2023 11:23,,Bonderson Engineering,ANIMAL - Animal Call,23-03-13-003469,,TURNED OVER TO FACILITY SVS
3/13/2023 11:12,,Cal Poly Police Department,CITIZEN ASSIST - Citizen Contact,23-03-13-003468,,COMPLETED- NO REPORT
3/13/2023 10:26,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-13-003467,,COMPLETED- NO REPORT
3/13/2023 10:13,03/13/2023 08:00 am - 03/13/2023 10:00 am,Education Building,MOTOR VEHICLE THEFT - TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,,230331,Closed
3/13/2023 10:13,,Education Building,LARCENY-THEFT - Theft Report,23-03-13-003465,230331,REPORT TAKEN
3/13/2023 10:02,,Highland Drive,CITIZEN ASSIST - Public Assist (specify),23-03-13-003463,,COMPLETED- NO REPORT
3/13/2023 10:01,03/13/2023 08:10 am - 03/13/2023 09:50 am,Orfalea Business Area,LARCENY-THEFT - PETTY THEFT,,230330,Closed
3/13/2023 10:01,,Orfalea Business Area,LARCENY-THEFT - Theft Report,23-03-13-003464,230330,REPORT TAKEN
3/13/2023 8:40,3/13/2023 8:40,Yak?ityutyu - A,MEDICAL - Medical Aid,,230329,Closed
3/13/2023 8:40,,Yak?ityutyu - A,MEDICAL - Medical Aid,23-03-13-003459,230329,REPORT TAKEN
3/13/2023 7:40,,C-3 Parking Lot,PARKING - Parking Violation,23-03-13-003453,,COMPLETED- NO REPORT
3/13/2023 6:59,,Advanced Technology Lab,ALARM - Fire Alarm,23-03-13-003450,,TURNED OVER TO FACILITY SVS
3/12/2023 22:06,,Poly Canyon Village Area,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-12-003448,,COMPLETED- NO REPORT
3/12/2023 20:54,,Grand Avenue,VEHICLE - Vehicle Stop,23-03-12-003447,,DRIVER WARNED/ADVISED
3/12/2023 20:28,,Pcv Foxen,ALARM - Fire Alarm,23-03-12-003446,,False/Cooking related
3/12/2023 20:22,,Cerro Vista Bishop,VANDALISM - Malicious Mischief in progress,23-03-12-003445,,GONE ON ARRIVAL/UNABLE TO LOCATE
3/12/2023 20:18,03/12/2023 08:18 pm - 03/12/2023 08:24 pm,Yosemite Hall,INJURY - Injury report // DOCUMENTATION - General Incident,,230327,Closed
3/12/2023 20:18,,Yosemite Hall,CITIZEN ASSIST - Check The Welfare,23-03-12-003444,230327,REPORT TAKEN
3/12/2023 19:59,,Yak?ityutyu - C,FOLLOWUP - Followup,23-03-12-003442,,IN SERVICE
3/12/2023 19:50,,Pcv Buena Vista,ALARM - Fire Alarm,23-03-12-003441,,False/Cooking related
3/12/2023 18:57,,Pcv Corralitos,VANDALISM - Malicious Mischief report,23-03-12-003438,,COMPLETED- NO REPORT
3/12/2023 17:56,03/10/2023 10:00 am - 03/11/2023 10:30 pm,Pcv Corralitos,VANDALISM - Vandalism - Less Than $400,,230325,Closed
3/12/2023 17:56,,Pcv Corralitos,VANDALISM - Malicious Mischief report,23-03-12-003437,230325,REPORT TAKEN
3/12/2023 17:52,03/10/2023 10:00 pm - 03/11/2023 10:00 pm,Pcv Buena Vista,VANDALISM - VANDALISM ($400 OR MORE),,230326,Closed
3/12/2023 17:52,,Pcv Buena Vista,VANDALISM - Malicious Mischief report,23-03-12-003436,230326,COMPLETED- NO REPORT
3/12/2023 15:14,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-12-003434,,COMPLETED- NO REPORT
3/12/2023 15:13,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-12-003433,,COMPLETED- NO REPORT
3/12/2023 15:09,03/11/2023 11:00 pm - 03/12/2023 12:30 am,Sequoia Hall,VANDALISM - Vandalism - Less Than $400,,230324,Closed
3/12/2023 15:09,,Sequoia Hall,VANDALISM - Malicious Mischief report,23-03-12-003432,230324,REPORT TAKEN
3/12/2023 14:48,03/08/2023 11:00 am - 03/12/2023 11:00 am,Mathematics And Science Area,MOTOR VEHICLE THEFT - TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT,,230323,Closed
3/12/2023 14:45,,Pcv Gypsum,ALARM - Elevator Emergency/Alarm,23-03-12-003431,,COMPLETED- NO REPORT
3/12/2023 14:21,,Cerro Vista Housing,FOLLOWUP - Followup,23-03-12-003430,,REPORT TAKEN
3/12/2023 14:07,,Yak?ityutyu - D,ALARM - Elevator Emergency/Alarm,23-03-12-003429,,QUIET ON ARRIVAL/QUIET ON DEPARTURE
3/12/2023 13:44,,Pcv Huasna,ALARM - Fire Alarm,23-03-12-003428,,False/Cooking related
3/12/2023 11:02,,Mathematics And Science Area,LARCENY-THEFT - Theft Report,23-03-12-003427,230323,REPORT TAKEN
3/12/2023 10:14,,Pcv Estrella,ALARM - Fire Alarm,23-03-12-003425,,TURNED OVER TO FACILITY SVS
3/12/2023 8:56,,Yosemite Hall,ALARM - Fire Alarm,23-03-12-003424,,TURNED OVER TO FACILITY SVS
3/12/2023 3:47,03/12/2023 03:47 am - 03/12/2023 04:12 am,Fremont Hall,VANDALISM - Vandalism - Less Than $400,,230322,Closed
3/12/2023 3:47,,Fremont Hall,VANDALISM - Malicious Mischief in progress,23-03-12-003421,230322,REPORT TAKEN
3/12/2023 3:39,,Tenaya Hall,VANDALISM - Malicious Mischief report,23-03-12-003420,,UNFOUNDED
3/12/2023 1:52,03/12/2023 01:52 am - 03/12/2023 03:13 am,Tenaya Hall,MEDICAL - MEDICAL AID - ALCOHOL/DRUG // DOCUMENTATION - OSRR Referral,,230320,Closed
3/12/2023 1:52,,Tenaya Hall,MEDICAL - MEDICAL AID - ALCOHOL/DRUG,23-03-12-003419,230320,REPORT TAKEN
3/12/2023 0:39,,Walter F. Dexter Building,PATROL ACTIVITY - Patrol Check,23-03-12-003418,,COMPLETED- NO REPORT
3/12/2023 0:35,,Yak?ityutyu - E,ALARM - Fire Alarm,23-03-12-003417,,False/Cooking related
3/12/2023 0:31,,C-7 Parking Lot,PATROL ACTIVITY - Vehicle Check,23-03-12-003416,,COMPLETED- NO REPORT
3/12/2023 0:13,,Yak?ityutyu - F,ALARM - Fire Alarm,23-03-12-003415,,False/Mechanical
3/12/2023 0:04,03/11/2023 11:05 pm - 03/11/2023 11:52 pm,Trinity Hall,VANDALISM - Vandalism - Less Than $400,,230321,Closed
3/12/2023 0:04,,Trinity Hall,VANDALISM - Malicious Mischief report,23-03-12-003414,230321,REPORT TAKEN
3/11/2023 23:58,,Off Campus - 247 Chorro St,DISTURBANCE - Disturbance (specify) In Progress,23-03-11-003413,,TURNED OVER TO SLPD
3/11/2023 23:10,,Recreation Center Outdoor Pool,ALARM - Burglary Alarm,23-03-11-003412,,COMPLETED- NO REPORT
3/11/2023 23:05,,,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-11-003411,,COMPLETED- NO REPORT
3/11/2023 22:36,03/11/2023 10:36 pm - 03/11/2023 10:55 pm,Yosemite Tower 6,DOCUMENTATION - General Incident,,230319,Closed
3/11/2023 22:36,,Yosemite Tower 6,CITIZEN ASSIST - Check The Welfare,23-03-11-003410,230319,REPORT TAKEN
3/11/2023 22:26,,Pcv Buena Vista,VANDALISM - Malicious Mischief report,23-03-11-003409,230334,COMPLETED- NO REPORT
3/11/2023 22:06,,Baseball Stadium,PATROL ACTIVITY - Patrol Check,23-03-11-003408,,COMPLETED- NO REPORT
3/11/2023 21:24,,Off Campus - Slack At Longview,VEHICLE - Vehicle Stop,23-03-11-003407,,DRIVER WARNED/ADVISED
3/11/2023 21:12,,Off Campus - Foothill At Campus,VEHICLE - Vehicle Stop,23-03-11-003406,,COMPLETED- NO REPORT
3/11/2023 20:44,,Yosemite Hall,PATROL ACTIVITY - Patrol Check,23-03-11-003404,,COMPLETED- NO REPORT
3/11/2023 20:31,,Truckee Road,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-03-11-003403,,GONE ON ARRIVAL/UNABLE TO LOCATE
3/11/2023 18:50,,Poly Canyon Village Area,CITIZEN ASSIST - Public Assist (specify),23-03-11-003400,,COMPLETED- NO REPORT
3/11/2023 16:33,,Unknown On-campus,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-11-003399,,False/Human Error
3/11/2023 16:07,03/11/2023 04:07 pm - 03/11/2023 04:29 pm,Off Campus - Rite Aid,ALCOHOL - Furnishing/Selling Alcoholic Beverage to Minor,,230318,Closed
3/11/2023 15:56,,Ytt Parking Structure,ALARM - Elevator Emergency/Alarm,23-03-11-003397,,QUIET ON ARRIVAL/QUIET ON DEPARTURE
3/11/2023 15:16,,Center For Science,PATROL ACTIVITY - Foot Patrol,23-03-11-003396,,IN SERVICE
3/11/2023 15:03,,Frank E Pilling Computer Science,CRIMINAL - Skateboarding/Rollerblade on campus,23-03-11-003395,,COMPLETED- NO REPORT
3/11/2023 10:37,03/10/2023 12:00 pm - 03/11/2023 09:30 am,Trinity Hall,VANDALISM - Vandalism - Less Than $400,,230317,Closed
3/11/2023 10:37,,Trinity Hall,VANDALISM - Malicious Mischief report,23-03-11-003389,230317,REPORT TAKEN
3/11/2023 8:54,03/10/2023 04:00 pm - 03/11/2023 08:20 am,Muir Hall,VANDALISM - Vandalism - Less Than $400,,230316,Closed
3/11/2023 8:54,,Muir Hall,VANDALISM - Malicious Mischief report,23-03-11-003385,230316,REPORT TAKEN
3/11/2023 5:02,,Recreation Center Outdoor Pool,ALARM - Burglary Alarm,23-03-11-003384,,False/Nature
3/11/2023 2:00,,Pcv Dover,DISTURBANCE - Disturbance (specify) In Progress,23-03-11-003383,,TURNED OVER TO HOUSING
3/11/2023 1:40,,Yak?ityutyu - C,DISPATCH - 911 Unknown/Abandoned or Hangup,23-03-11-003381,,COMPLETED- NO REPORT
3/11/2023 1:22,03/11/2023 01:22 am - 03/11/2023 01:48 am,Yak?ityutyu - A,MEDICAL - MEDICAL AID - ALCOHOL/DRUG // DOCUMENTATION - OSRR Referral,,230315,Closed
3/11/2023 1:22,,Yak?ityutyu - A,MEDICAL - MEDICAL AID - ALCOHOL/DRUG,23-03-11-003380,230315,REPORT TAKEN
3/11/2023 1:10,,Poly Canyon Village Pool,ALARM - Burglary Alarm,23-03-11-003379,,COMPLETED- NO REPORT
3/11/2023 0:30,,Cerro Vista  Hollister,ALARM - Fire Alarm,23-03-11-003378,,False/Mechanical
3/11/2023 0:21,,Poly Canyon Village Pool,ALARM - Burglary Alarm,23-03-11-003377,,GONE ON ARRIVAL/UNABLE TO LOCATE
3/11/2023 0:07,03/09/2023 11:00 pm - 03/10/2023 11:10 pm,Yak?ityutyu - D,VANDALISM - Vandalism - Less Than $400,,230314,Closed
3/11/2023 0:07,,Yak?ityutyu - D,VANDALISM - Malicious Mischief report,23-03-11-003376,230314,REPORT TAKEN
3/10/2023 23:59,,Pcv Huasna,VANDALISM - Malicious Mischief report,23-03-10-003375,,UNFOUNDED
3/10/2023 23:39,,Canyon Circle Parking Structure,ALARM - Elevator Emergency/Alarm,23-03-10-003374,,COMPLETED- NO REPORT
3/10/2023 23:16,03/10/2023 11:16 pm - 03/10/2023 11:33 pm,Yosemite Tower 2,OFFENSE AGAINST PUBLIC JUSTICE - False Activation of Fire Alarm,,230313,Closed
3/10/2023 23:16,,Yosemite Tower 2,ALARM - Fire Alarm,23-03-10-003373,230313,REPORT TAKEN
3/10/2023 23:10,,Pcv Aliso,ALARM - Fire Alarm,23-03-10-003372,,False/Cooking related
3/10/2023 23:09,,Poly Canyon Village Pool,ALARM - Burglary Alarm,23-03-10-003371,,COMPLETED- NO REPORT
3/10/2023 22:50,,Tenaya Hall,ALARM - Fire Alarm,23-03-10-003370,,False/Cooking related
3/10/2023 22:27,,Center For Science,CITIZEN ASSIST - Public Assist (specify),23-03-10-003369,,COMPLETED- NO REPORT
3/10/2023 21:40,03/10/2023 09:40 pm - 03/10/2023 09:43 pm,North Perimeter Road,DOCUMENTATION - OSRR Referral,,230312,Closed
3/10/2023 21:40,,North Perimeter Road,VEHICLE - Vehicle Stop,23-03-10-003368,230312,REPORT TAKEN
3/10/2023 21:38,,Off Campus - Foothill At Carpenter,VEHICLE - Vehicle Stop,23-03-10-003367,,DRIVER WARNED/ADVISED
3/10/2023 21:29,,Off Campus - Ifo Sigma Nu House,CITIZEN ASSIST - Citizen Contact,23-03-10-003366,,COMPLETED- NO REPORT
3/10/2023 21:26,,Pcv Dover,ALARM - Fire Alarm,23-03-10-003365,,False/Cooking related
3/10/2023 20:52,,Pcv Gypsum,ALARM - Fire Alarm,23-03-10-003364,,False/Cooking related
3/10/2023 20:22,,Grand Avenue,VEHICLE - Vehicle Stop,23-03-10-003363,,DRIVER WARNED/ADVISED
3/10/2023 19:41,,Center For Science,PATROL ACTIVITY - Patrol Check,23-03-10-003362,,COMPLETED- NO REPORT
3/10/2023 19:08,,Pcv Inyo,ALARM - Fire Alarm,23-03-10-003360,,False/Cooking related
3/10/2023 18:50,,Yak?ityutyu - F,ALARM - Fire Alarm,23-03-10-003358,,COMPLETED- NO REPORT
